,source,target,weight
314,P1129,P1218,0.754765
315,P1133,P1218,0.78241
316,P1164,P1218,0.752753214285714
317,P1185,P1218,0.750605
318,P1193,P1218,0.760112647058823
319,P1200,P1218,0.809738888888889
320,P1210,P1218,0.747868125
321,P1011,P1220,0.757999285714286
322,P1025,P1220,0.762570416666667
323,P1028,P1220,0.765353529411765
324,P1029,P1220,0.75869625
325,P1056,P1220,0.760236829268293
326,P1076,P1220,0.747808260869565
327,P1088,P1220,0.748690714285714
328,P1094,P1220,0.746642051282051
329,P1111,P1220,0.757204615384615
330,P1115,P1220,0.762589411764706
331,P1120,P1220,0.755153571428571
332,P1123,P1220,0.744186666666667
333,P1124,P1220,0.7443875
334,P1133,P1220,0.78569125
335,P1135,P1220,0.762400833333333
336,P1149,P1220,0.757007906976744
337,P1164,P1220,0.7896654
338,P1182,P1220,0.764145714285714
339,P1193,P1220,0.765338181818182
340,P1198,P1220,0.747863939393939
341,P1203,P1220,0.769058571428571
342,P1210,P1220,0.763938461538462
343,P1214,P1220,0.74280375
344,P1108,P1225,0.791228928571429
345,P1123,P1225,0.762610882352941
346,P1028,P1228,0.748789583333333
347,P1029,P1228,0.795495294117647
348,P1094,P1228,0.772073529411765
349,P1108,P1228,0.778912903225806
350,P1111,P1228,0.769985909090909
351,P1115,P1228,0.774938461538462
352,P1120,P1228,0.7768152
353,P1133,P1228,0.812060833333333
354,P1135,P1228,0.768241481481481
355,P1149,P1228,0.778040357142857
356,P1155,P1228,0.768626060606061
357,P1164,P1228,0.769881489361702
358,P1165,P1228,0.744852857142857
359,P1182,P1228,0.799054705882353
360,P1185,P1228,0.780558181818182
361,P1193,P1228,0.746368928571429
362,P1200,P1228,0.781184285714286
363,P1203,P1228,0.745623
364,P1207,P1228,0.8130175
365,P1210,P1228,0.793681904761905
366,P1214,P1228,0.813531764705882
367,P1225,P1228,0.746606363636364
368,P1011,P1240,0.756386428571429
369,P1028,P1240,0.759547647058824
370,P1029,P1240,0.761128888888889
371,P1056,P1240,0.7570384
372,P1106,P1240,0.798680909090909
373,P1115,P1240,0.742723571428571
374,P1124,P1240,0.7562325
375,P1129,P1240,0.764693076923077
376,P1133,P1240,0.816908333333333
377,P1135,P1240,0.78991375
378,P1149,P1240,0.749955806451613
379,P1155,P1240,0.761259333333333
380,P1164,P1240,0.775770869565218
381,P1182,P1240,0.745855
382,P1192,P1240,0.743124
383,P1193,P1240,0.762928148148148
384,P1200,P1240,0.799087
385,P1203,P1240,0.790236666666667
386,P1207,P1240,0.779072727272727
387,P1210,P1240,0.801730714285714
388,P1214,P1240,0.806812941176471
389,P1228,P1240,0.749797727272727
390,P1025,P1253,0.74751
391,P1056,P1253,0.88242
392,P1067,P1253,0.807901666666667
393,P1088,P1253,0.787746111111111
394,P1114,P1253,0.745459090909091
395,P1115,P1253,0.776569
396,P1129,P1253,0.781783181818182
397,P1135,P1253,0.753192
398,P1165,P1253,0.8365
399,P1182,P1253,0.752775510204082
400,P1191,P1253,0.74891
401,P1193,P1253,0.832705714285714
402,P1207,P1253,0.759644545454545
403,P1210,P1253,0.753166382978724
404,P1214,P1253,0.759193720930232
405,P1220,P1253,0.860118571428571
406,P1006,P1257,0.756771428571429
407,P1029,P1257,0.763031428571429
408,P1056,P1257,0.840085555555556
409,P1067,P1257,0.851773
410,P1076,P1257,0.75299625
411,P1088,P1257,0.76228487804878
412,P1094,P1257,0.765487352941176
413,P1111,P1257,0.787728076923077
414,P1115,P1257,0.762066279069767
415,P1120,P1257,0.760568125
416,P1123,P1257,0.767952105263158
417,P1129,P1257,0.786195909090909
418,P1133,P1257,0.758751842105263
419,P1135,P1257,0.775112962962963
420,P1155,P1257,0.781375263157895
421,P1164,P1257,0.791374827586207
422,P1165,P1257,0.769215294117647
423,P1182,P1257,0.764537142857143
424,P1193,P1257,0.770172307692308
425,P1207,P1257,0.745560857142857
426,P1210,P1257,0.760763414634146
427,P1214,P1257,0.768876097560976
428,P1218,P1257,0.768084285714286
429,P1220,P1257,0.752935
430,P1228,P1257,0.7512634375
431,P1240,P1257,0.794675909090909
432,P1253,P1257,0.760241935483871
433,P1006,P1261,0.780025625
434,P1029,P1261,0.790657111111111
435,P1056,P1261,0.775025454545454
436,P1076,P1261,0.78442125
437,P1088,P1261,0.772434137931035
438,P1094,P1261,0.748678823529412
439,P1108,P1261,0.793972333333333
440,P1114,P1261,0.743015555555556
441,P1115,P1261,0.766967142857143
442,P1120,P1261,0.7680564
443,P1124,P1261,0.774728387096774
444,P1129,P1261,0.761732962962963
445,P1133,P1261,0.782262926829268
446,P1164,P1261,0.778485454545455
447,P1182,P1261,0.752560625
448,P1185,P1261,0.747279210526316
449,P1192,P1261,0.812173
450,P1193,P1261,0.787337058823529
451,P1214,P1261,0.781809
452,P1218,P1261,0.752549166666667
453,P1220,P1261,0.819666666666667
454,P1228,P1261,0.749070526315789
455,P1240,P1261,0.801676923076923
456,P1257,P1261,0.779361034482759
457,P1025,P1264,0.754414117647059
458,P1028,P1264,0.78317
459,P1029,P1264,0.769702222222222
460,P1056,P1264,0.76659294117647
461,P1076,P1264,0.744955
462,P1088,P1264,0.745957857142857
463,P1094,P1264,0.788608837209302
464,P1106,P1264,0.782015185185185
465,P1108,P1264,0.748865789473684
466,P1111,P1264,0.76980675
467,P1120,P1264,0.746554285714286
468,P1124,P1264,0.776836875
469,P1129,P1264,0.776806129032258
470,P1133,P1264,0.757609230769231
471,P1135,P1264,0.766121034482759
472,P1149,P1264,0.776160606060606
473,P1155,P1264,0.771062258064516
474,P1164,P1264,0.759438809523809
475,P1192,P1264,0.787440714285714
476,P1193,P1264,0.772036764705882
477,P1198,P1264,0.77576393939394
478,P1200,P1264,0.755355384615385
479,P1203,P1264,0.826155
480,P1207,P1264,0.784757272727273
481,P1210,P1264,0.776603333333333
482,P1214,P1264,0.782799523809524
483,P1220,P1264,0.803635957446808
484,P1228,P1264,0.776513571428571
485,P1240,P1264,0.7485325
486,P1253,P1264,0.752715384615385
487,P1257,P1264,0.77139027027027
488,P1261,P1264,0.757663333333333
489,P1011,P1267,0.792870666666667
490,P1025,P1267,0.744547142857143
491,P1088,P1267,0.797824
